store_id,month,region,size_sqft,is_urban,treated,post,ad_spend,foot_traffic,sales
1,2024-01,East,2559,0,1,0,818.35,696.0,26414.18
1,2024-02,East,2559,0,1,0,642.15,611.0,30396.99
1,2024-03,East,2559,0,1,0,983.08,681.0,29966.67
1,2024-04,East,2559,0,1,0,1074.37,694.0,29786.3
1,2024-05,East,2559,0,1,0,721.58,,27147.82
1,2024-06,East,2559,0,1,0,268.96,634.0,29620.48
1,2024-07,East,2559,0,1,1,1467.74,657.0,34814.79
1,2024-08,East,2559,0,1,1,1496.29,641.0,31707.81
1,2024-09,East,2559,0,1,1,1512.05,599.0,37907.27
1,2024-10,East,2559,0,1,1,1385.06,655.0,33534.51
1,2024-11,East,2559,0,1,1,1728.56,635.0,35460.22
1,2024-12,East,2559,0,1,1,1781.04,658.0,36454.15
2,2024-01,North,3412,1,1,0,601.89,755.0,34013.11
2,2024-02,North,3412,1,1,0,929.82,712.0,33180.49
2,2024-03,North,3412,1,1,0,643.35,790.0,34409.24
2,2024-04,North,3412,1,1,0,1008.77,745.0,35853.0
2,2024-05,North,3412,1,1,0,851.98,728.0,36153.06
2,2024-06,North,3412,1,1,0,923.53,696.0,36832.73
2,2024-07,North,3412,1,1,1,1558.61,745.0,38766.73
2,2024-08,North,3412,1,1,1,1646.9,719.0,38443.55
2,2024-09,North,3412,1,1,1,1692.68,754.0,40526.85
2,2024-10,North,3412,1,1,1,1226.03,733.0,38511.04
2,2024-11,North,3412,1,1,1,1502.6,747.0,41991.08
2,2024-12,North,3412,1,1,1,1307.4,731.0,41174.62
3,2024-01,East,2924,1,1,0,894.65,676.0,33413.61
3,2024-02,East,2924,1,1,0,614.79,697.0,32619.59
3,2024-03,East,2924,1,1,0,623.23,660.0,33612.95
3,2024-04,East,2924,1,1,0,974.49,708.0,35171.31
3,2024-05,East,2924,1,1,0,903.01,726.0,34311.97
3,2024-06,East,2924,1,1,0,1087.47,704.0,33638.33
3,2024-07,East,2924,1,1,1,1436.95,683.0,39434.52
3,2024-08,East,2924,1,1,1,1492.07,696.0,37525.4
3,2024-09,East,2924,1,1,1,1405.61,658.0,39906.38
3,2024-10,East,2924,1,1,1,1609.92,649.0,36466.04
3,2024-11,East,2924,1,1,1,1928.79,694.0,39496.06
3,2024-12,East,2924,1,1,1,1411.1,646.0,35768.32
4,2024-01,West,2256,0,1,0,901.0,619.0,29803.08
4,2024-02,West,2256,0,1,0,863.55,642.0,26074.66
4,2024-03,West,2256,0,1,0,1224.43,620.0,30215.18
4,2024-04,West,2256,0,1,0,752.52,587.0,31227.61
4,2024-05,West,2256,0,1,0,749.49,618.0,26556.69
4,2024-06,West,2256,0,1,0,774.32,635.0,27747.7
4,2024-07,West,2256,0,1,1,1303.7,579.0,33885.61
4,2024-08,West,2256,0,1,1,1629.43,631.0,33561.64
4,2024-09,West,2256,0,1,1,1926.61,677.0,30607.0
4,2024-10,West,2256,0,1,1,1402.71,612.0,33564.43
4,2024-11,West,2256,0,1,1,1382.13,591.0,34510.17
4,2024-12,West,2256,0,1,1,1572.4,650.0,34221.87
5,2024-01,South,3063,0,1,0,949.46,696.0,31888.64
5,2024-02,South,3063,0,1,0,1110.57,727.0,30403.07
5,2024-03,South,3063,0,1,0,1061.1,692.0,31059.26
5,2024-04,South,3063,0,1,0,745.79,712.0,29956.15
5,2024-05,South,3063,0,1,0,598.8,720.0,28983.24
5,2024-06,South,3063,0,1,0,660.17,710.0,30819.19
5,2024-07,South,3063,0,1,1,1334.9,674.0,35177.31
5,2024-08,South,3063,0,1,1,1413.34,734.0,36021.38
5,2024-09,South,3063,0,1,1,1210.38,697.0,33492.64
5,2024-10,South,3063,0,1,1,1092.58,748.0,37914.09
5,2024-11,South,3063,0,1,1,1496.3,650.0,35299.86
5,2024-12,South,3063,0,1,1,1754.23,713.0,37036.59
6,2024-01,South,2872,1,1,0,938.03,640.0,32775.79
6,2024-02,South,2872,1,1,0,1255.15,702.0,34163.99
6,2024-03,South,2872,1,1,0,974.46,624.0,33665.8
6,2024-04,South,2872,1,1,0,777.81,696.0,34778.73
6,2024-05,South,2872,1,1,0,375.22,693.0,32323.47
6,2024-06,South,2872,1,1,0,417.46,714.0,33682.9
6,2024-07,South,2872,1,1,1,1235.95,737.0,40801.95
